"id";"creator";"collection";"resource_type";"conservation_institution";"contributor";"archival_reference";"Date";"extent";"ornamental_motif";"folio";"related_dataset_id";"incipit";"inscription";"source";"files";"note";"timel_nature_place";"timel_object_architecture";"timel_character";"timel_subject";"timel_thema";"place_geonames_id";"title"
"REG_00052";"gahom";"REG. LAT. 1";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 1";1250;"158X115";"Lettre ornée|Zoomorphe|Végétal|Filigrane";"1R";"REG_00051";;;"prologue";"reginenses/REG_00051.tif|reginenses/REG_00052.tif";;;;;;;2988507;"Biblia"
"REG_00055";"gahom";"REG. LAT. 1";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 1";1250;"158X115";"Lettre ornée|Zoomorphe|Végétal";"3V";"REG_00053";;;"genese";"reginenses/REG_00053.tif|reginenses/REG_00054.tif|reginenses/REG_00055.tif";;;;;;;2988507;"Biblia"
"REG_00057";"gahom";"REG. LAT. 1";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 1";1250;"158X115";"Lettre ornée|Zoomorphe|Végétal";"62V";"REG_00056";;;"deuteronome";"reginenses/REG_00056.tif|reginenses/REG_00057.tif";;;;;;;2988507;"Biblia"
"REG_00059";"gahom";"REG. LAT. 1";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 1";1250;"158X115";"Lettre ornée|Zoomorphe";"95V";"REG_00058";;;;"reginenses/REG_00058.tif|reginenses/REG_00059.tif";;;;;;;2988507;"Biblia"
"REG_00061";"gahom";"REG. LAT. 1";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 1";1250;"158X115";"Lettre ornée|Zoomorphe|Végétal";"198R";"REG_00060";;;"livre de ruth";"reginenses/REG_00060.tif|reginenses/REG_00061.tif";;;;;;;2988507;"Biblia"
"REG_00063";"gahom";"REG. LAT. 1";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 1";1250;"158X115";"Lettre ornée|Zoomorphe|Végétal";"211R";"REG_00062";;;"ps.109";"reginenses/REG_00062.tif|reginenses/REG_00063.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-bqscor5q";;;;;2988507;"Biblia"
"REG_00067";"gahom";"REG. LAT. 2";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 2";"1225/1275";"155X115";"Lettre ornée|Filigrane";"1R";"REG_00065";;;"proverbes";"reginenses/REG_00065.tif|reginenses/REG_00066.tif|reginenses/REG_00067.tif";;"http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-dzl7mvhj|http://data.ehess.fr/thes/timel/medieval/doi:10.34817/tm-qj2ns7xh";;;;;2988507;"Biblia"
"REG_00069";"gahom";"REG. LAT. 2";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 2";"1225/1275";"155X115";"Lettre ornée|Filigrane";"150V";"REG_00068";;;"evangile matthieu";"reginenses/REG_00068.tif|reginenses/REG_00069.tif";;;;;;;2988507;"Biblia"
"REG_00071";"gahom";"REG. LAT. 2";"images_fixes|enluminures";"vatican";"atelier_de_gautier_lebaude:illuminator";"REG. LAT. 2";"1225/1275";"155X115";"Lettre ornée|Filigrane";"214V";"REG_00070";;;"epitre a tite";"reginenses/REG_00070.tif|reginenses/REG_00071.tif";;;;;;;2988507;"Biblia"
"REG_00074";"gahom";"REG. LAT. 3";"images_fixes|enluminures";"vatican";"atelier_mathurin:illuminator";"REG. LAT. 3";"1225/1275";"180X120";"Lettre historiée|Végétal";"1R";"REG_00073";;;"epitre de s. jerome";"reginenses/REG_00073.tif|reginenses/REG_00074.tif";;;;;;;2988507;"Biblia"
